Computation of population skweness started
Started writing results to file: sin_function_timing1.csv
average: 154.384106522498060
 population_value: 118.662757548832630, index i: 2, index j: 19, accumulated_mean: 30.952073754157340  
 population_value: 118.662757548832630, index i: 2, index j: 20, accumulated_mean: 30.951447138011396  
 population_value: 118.662757548832630, index i: 2, index j: 21, accumulated_mean: 30.950820542966390  
 population_value: 151.463845001355480, index i: 2, index j: 22, accumulated_mean: 30.950816364788530  
 population_value: 151.463845001355480, index i: 2, index j: 23, accumulated_mean: 30.950812186611611  
 population_value: 164.005437262614210, index i: 2, index j: 24, accumulated_mean: 30.950766872071721  
 population_value: 156.287534332608830, index i: 2, index j: 25, accumulated_mean: 30.950765097593589  
 population_value: 151.463845001355480, index i: 2, index j: 26, accumulated_mean: 30.950760919428209  
 population_value: 151.463845001355480, index i: 2, index j: 27, accumulated_mean: 30.950756741263760  
 population_value: 151.463845001355480, index i: 2, index j: 28, accumulated_mean: 30.950752563100256  
 population_value: 151.463845001355480, index i: 2, index j: 29, accumulated_mean: 30.950748384937693  
 population_value: 151.463845001355480, index i: 2, index j: 30, accumulated_mean: 30.950744206776069  
 population_value: 118.662757548832630, index i: 2, index j: 31, accumulated_mean: 30.950117635404389  
 population_value: 159.181747931360830, index i: 2, index j: 32, accumulated_mean: 30.950106364689301  
 population_value: 151.463845001355480, index i: 2, index j: 33, accumulated_mean: 30.950102186671973  
 population_value: 151.463845001355480, index i: 2, index j: 34, accumulated_mean: 30.950098008655587  
 population_value: 151.463845001355480, index i: 2, index j: 35, accumulated_mean: 30.950093830640139  
 population_value: 118.662757548832630, index i: 2, index j: 36, accumulated_mean: 30.949467281169678  
 population_value: 151.463845001355480, index i: 2, index j: 37, accumulated_mean: 30.949463103295983  
 population_value: 151.463845001355480, index i: 2, index j: 38, accumulated_mean: 30.949458925423230  
 population_value: 151.463845001355480, index i: 2, index j: 39, accumulated_mean: 30.949454747551417  
 population_value: 153.393320733856830, index i: 2, index j: 40, accumulated_mean: 30.949454266697277  
 population_value: 150.499107135104790, index i: 2, index j: 41, accumulated_mean: 30.949446871968476  
 population_value: 151.463845001355480, index i: 2, index j: 42, accumulated_mean: 30.949442694099375  
 population_value: 150.499107135104790, index i: 2, index j: 43, accumulated_mean: 30.949435299375178  
 population_value: 151.463845001355480, index i: 2, index j: 44, accumulated_mean: 30.949431121508681  
 population_value: 151.463845001355480, index i: 2, index j: 45, accumulated_mean: 30.949426943643122  
 population_value: 151.463845001355480, index i: 2, index j: 46, accumulated_mean: 30.949422765778504  
 population_value: 151.463845001355480, index i: 2, index j: 47, accumulated_mean: 30.949418587914824  
 population_value: 127.345398345088670, index i: 2, index j: 48, accumulated_mean: 30.949059831581184  
 population_value: 151.463845001355480, index i: 2, index j: 49, accumulated_mean: 30.949055653799093  
 population_value: 150.499107135104790, index i: 2, index j: 50, accumulated_mean: 30.949048259228899  
 population_value: 118.662757548832630, index i: 2, index j: 51, accumulated_mean: 30.948421744970503  
 population_value: 118.662757548832630, index i: 2, index j: 52, accumulated_mean: 30.947795251808238  
 population_value: 118.662757548832630, index i: 2, index j: 53, accumulated_mean: 30.947168779741116  
 population_value: 150.499107135104790, index i: 2, index j: 54, accumulated_mean: 30.947161385921465  
 population_value: 150.499107135104790, index i: 2, index j: 55, accumulated_mean: 30.947153992104763  
